target,input,model_wer,norm_sentence,norm_wer,norm_time
con nhớ ra có công việc phải làm ở nhà,cô nhớ ra có công việc phải làm ở nhà,0.1,cô nhớ ra có công việc phải làm ở nhà,0.1,0.1627202033996582
hiện nay dạ mà à bộ đã đề ra từ năm hai ngàn không trăm mười dạ thưa bác sĩ à,hiện nay dạ mà à bộ đã để ra từ năm hai ngàn không trăm mười dạ thưa bác sĩ à,0.047619047619047616,hiện nay dạ mà à bộ đã để ra từ năm 2 ngàn 2010 dạ thưa bác sĩ à,0.23809523809523808,0.2301933765411377
sắp đặt rất là hay là mỗi người đều có một vẻ đẹp riêng và,sắp đặt rất là hay là mỗi người đều có một vẻ đẹp riêng và,0.0,sắp đặt rất là hay là mỗi người đều có một vẻ đẹp riêng và,0.0,0.15851664543151855
em tặng anh là cái áo màu đỏ anh có bị mất trí đâu anh,em tặng anh là cáo màu đỏanh đâu có bị mất trí đâu,0.3333333333333333,em tặng anh là cáo màu đón anh đâu có bị mất trí đâu,0.3333333333333333,0.16159272193908691
quá trình này còn làm ảnh hưởng trực tiếp tới hệ thần kinh dẫn tới một số hiện tượng đau khác như đau đầu đau nửa đầu,quá trình này còn làm ảnh hưởng trực tiếp tới hệ thần kinh dẫn tới một số hiện tượng đau khác như đau đầu đau nửa đầu,0.0,quá trình này còn làm ảnh hưởng trực tiếp tới hệ thần kinh dẫn tới một số hiện tượng đau khác như đau đầu đau nửa đầu,0.0,0.27930140495300293
trong lúc ông tiên cột bọc cam quýt vào xe,trong lúc ông kiên cột bọc can quýt vào xe,0.2,trong lúc ông kiên cột bọc can quýt vào xe,0.2,0.12193799018859863
cũng khá là bất lợi cho mình bởi vì trong cái thử thách diễn xuất lần trước thì tôi đã diễn,cũngkhá là vất lọn cho mình bởi vì trong cái thử thách diễn xuất lần trước thì tôi đã diễn,0.19047619047619047,cũng khá là một đứa cho mình bởi vì trong cái thử thách diễn xuất lần trước thì tôi đã diễn,0.09523809523809523,0.2291123867034912
nhất là cái giọng rao chè như hát,nhất là cái giọng rao chẻ như hát,0.125,nhất là cái giọng dao trẻ như h,0.375,0.0951690673828125
à đâu đó lấp ló để được có thể được kích hoạt cho nên đó cũng là một ý hay,ờ đâu đó lấp ló để được có thể được thích hoạt cho nên đó là một ý ngay,0.2,ở đâu đó lấp nó để được có thể được thích hoạt cho nên đó là một ý ngay,0.25,0.19400358200073242
thứ ba các thân chủ nguyễn đức hà trần thị túc của chúng tôi,thứ ba các thân chủ nguyễn đức hà trần thị túc của chúng tôi,0.0,thứ ba các thân chủ nguyễn đức hà trần thị túc của chúng tôi,0.0,0.1525111198425293
số mình sao mà xui quá toàn gặp gì đâu không,số mình sao mà xui quá toàn gặp gì đâu không,0.0,số mình sao mà xui quá toàn gặp gì đâu không,0.0,0.12148165702819824
hiện tại bây giờ quyên đang chăm sóc da của mình ở nhà,hiện tại bây giờ quyên đang chăm sóc da của mình ở nhà,0.0,hiện tại bây giờ quyên đang chăm sóc da của mình ở nhà,0.0,0.13648605346679688
hơi xanh bủng do bị ướm nắng,hơi xanh bủng do bị ướm nắng,0.0,hơi xanh chủng do bị gươm nắng,0.2857142857142857,0.08349204063415527
thứ nhất là y học cộng đồng chấm com,thứ nhất là y học cộng đồng chống con,0.2222222222222222,thứ nhất là y học cộng đồng chống con,0.2222222222222222,0.10589432716369629
ờ vậy là ba mẹ nhưng mà ba mẹ em có kiểm soát không ba mẹ chỉ tịch thu điện thoại thôi chứ,ờ vậy là ba mẹ nhưng mà ba mẹ kông có kiểm soát không ba mẹ chỉ tịch thuơng điện thoại thôi chưa,0.13043478260869565,ở vậy là 3 mẹ nhưng mà 3 mẹ không có kiểm soát không 3 mẹ chỉ tịch tổng điện thoại thôi chưa,0.30434782608695654,0.2337796688079834
ngay lập tức trong đầu không nghĩ gì hết,cái lập tức trong đầu không nghĩ gì hết,0.1111111111111111,cái lập tức trong đầu không nghĩ gì hết,0.1111111111111111,0.10451817512512207
nhân đây cũng xin chân thành cảm ơn các nhạc sĩ quỳnh hợp hữu xuân phạm minh thuận và thu hường,nhân đây cũng xin chân thành cảm ơn các nhạc sĩ quỳnh hợp hữu xuân phạm minh thuận và thu hường,0.0,nhân đây cũng xin chân thành cảm ơn các nhạc sĩ quỳnh hợp hữu xuân phạm minh thuận và thu hường,0.0,0.21971964836120605
cả hai ngày đều chơi tốt và lần lượt ghi bàn thắng đầu tiên trong màu áo sọc đỏ đen,cả hai ngày đều chơi tốt vào lần lượt ghi bàn thắng đầu tiên trong màu áo sọc đỏ đèn,0.1,cả hai ngày đều chơi tốt vào lần lượt ghi bàn thắng đầu tiên trong màu áo sọc đỏ đèn,0.1,0.20119142532348633
khép lại cảm ơn sự quan tâm theo dõi của quý vị chúng ta sẽ gặp lại nhau ở những chương trình sau,khép lại cảm ơn sự quan tâm theo dõi của quý vị chúng ta sẽ gặp lại nhau ở những chương trình sau,0.0,khép lại cảm ơn sự quan tâm theo dõi của quý vị chúng ta sẽ gặp lại nhau ở những chương trình sau,0.0,0.22505426406860352
phải chi ba má cậu không bị tai nạn xe hơi hồi năm đó,phải chia ba má cậu không bị tai nạn xe hơi hồi năm đó,0.07142857142857142,phải chia 3 má cậu không bị tai nạn xe hơi hồi năm đó,0.14285714285714285,0.14607715606689453
còn hôm nay tôi ơ làm là món,còn hôm nay tôi a làm là món,0.125,còn hôm nay tôi a làm là món,0.125,0.10060358047485352
sân bay ngừng hoạt động vì thỏ rừng,sân bay ngừng hoạt động vì thỏ rừng,0.0,sân bay ngừng hoạt động vì thỏ rừng,0.0,0.0962982177734375
thế nhưng đó chỉ là bề nổi,thế nhưng đó chỉ là bề nổi,0.0,thế nhưng đó chỉ là bề nổi,0.0,0.09944891929626465
thiết kế lần này nhưng bạn đã không biết cách xử lý và kết hợp chúng lại với nhau,thiết kế lần này nhưng bạn đã không biết cách xử lý và kết hợp khiến lại với nhau,0.05263157894736842,thiết kế lần này nhưng bạn đã không biết cách xử lý và kết hợp khiến lại với nhau,0.05263157894736842,0.20319843292236328
nếu làm thế nó sẽ hộc máu tươi chết bỏ chồng,nếu làm thế nó sẽ học máu tươi chết bỏ chồng,0.09090909090909091,nếu làm thế nó sẽ học máu tươi chết bỏ chồng,0.09090909090909091,0.13036632537841797
mà điển hình là ở dòng hàng đồng đồng được phối để trở thành nắp hộp trà cốt đồ trang sức,mà điền hình là ở dòng hàng đồng đồng độc phối để trở thành năm hộc trà cốt đồ trang sức,0.19047619047619047,mà điền hình là ở dòng hàng đồng độc phối để trở thành năm hộc trà cốt đồ trang sức,0.23809523809523808,0.20372891426086426
những bữa ăn tràn ngập màu xanh và sắc vàng sắc đỏ này sẽ cân bằng sức khỏe cho chúng ta,những bữa ăn tràn ngập màu xanh và rắc vàng rắc đỏ này sẽ cân bằng sức khoẻ cho chúng ta,0.14285714285714285,những bữa ăn tràn ngập màu xanh và rắc vàng rắc đỏ này sẽ cân bằng sức khỏe cho chúng ta,0.09523809523809523,0.22183442115783691
nó định ám hại thằng khoa ông có biết không,nó định ám hải thằng khoa ông có biết không,0.1,nó định ám hải thằng khoa ông có biết không,0.1,0.10655570030212402
đều là những thương hiệu nổi tiếng có khả năng chịu nước tốt ngoài ra còn chịu được trầy xước mà không ảnh hưởng đến tính thẩm mĩ của ván sàn,đều là những thương hiệu nổi tiếng có khả năng chịu nốt tốp ngoài ra còn chịu được trờy sước mà không ảnh hưởng đến tính thẩm mỹ của ván sàn,0.16129032258064516,đều là những thương hiệu nổi tiếng có khả năng chịu nốt tốp ngoài ra còn chịu được truy súng mà không ảnh hưởng đến tính thẩm mỹ của ván sàn,0.16129032258064516,0.3016629219055176
cặp đôi tử nạn vì ngã xe ngay trước đầu xe buýt,cặp đôi tử nạn vì ngã xe ngay trước đầu xe buýt,0.0,cặp đôi tử nạn vì ngã xe ngay trước đầu xe buýt,0.0,0.12604093551635742
bị thương cả người còn mỗi cái miệng thôi nên cậu lẻo mép quá đấy nhở,bị thương cả người còn mỗi cái miệng thôi nên cậu lèo mép quá đấ nhở,0.125,bị thương cả người còn mỗi cái miệng thôi nên cậu lèo mép quá ấ nhở,0.125,0.17424869537353516
nhưng mà thực tế có thể là không phải đấy là những trường hợp ờ thái quá,nhưng mà thực tế có thể là không phải đấy là những trường hợp ờ thái quá,0.0,nhưng mà thực tế có thể là không phải đấy là những trường hợp ở thái quá,0.058823529411764705,0.16868257522583008
chưa có một ai mà dễ đánh mắt,chưa có một ai mà dễ đánh mắt,0.0,chưa có một ai mà dễ đánh mắt,0.0,0.09301090240478516
và cái ý định thì cực kỳ tốt,và cái ý định thì cực thì tốt,0.125,và cái ý định thì cực thì tốt,0.125,0.09555244445800781
muốn bán sát và phản ánh cuộc sống hiện tại,muốn bám sát và phản ánh cuộc sống hiện đại,0.2,muốn bám sát và phản ánh cuộc sống hiện đại,0.2,0.12112832069396973
đối với trẻ lớn hơn phụ huynh cũng không hướng dẫn con tạo thói quen vệ sinh răng miệng hàng ngày cho bé nhất là sau khi ăn và uống,đối với trẻ lớn hơn phụ huynh cũng không hướng dẫn con tạm thói quen vệ sinh răng miệng hằng ngày cho bé nhất là sau khi ăn và uống,0.06666666666666667,đối với trẻ lớn hơn phụ huynh cũng không hướng dẫn con tạm thói quen vệ sinh răng miệng hằng ngày cho bé nhất là sau khi ăn và uống,0.06666666666666667,0.2815890312194824
vì vậy để kiểm soát xem mình đang sử dụng những dịch vụ gì và hủy những dịch vụ không cần thiết để tránh bị trừ tiền một cách vô lý,vì vậy để kiểm soát xem mình đang sử dụng những dịch vụ gì và huỷ những dịch vụ không cần thiết để tránh bị trừ tiền một cách vô lý,0.03225806451612903,vì vậy để kiểm soát xem mình đang sử dụng những dịch vụ gì và hủy những dịch vụ không cần thiết để tránh bị trừ tiền một cách vô lý,0.0,0.31760120391845703
và trong mối quan hệ tương quan giữa trời đất và người,và trong mối quan hệ tương quang giữa trời đất và người,0.08333333333333333,và trong mối quan hệ tương quang giữa trời đất và người,0.08333333333333333,0.14014744758605957
tỏ tình với nhiều người anh đâu có tỏ tình với họ đâu anh đã từng với thanh mà,tỏ tình với nhiều người anh đâu có tỏ tình với họ đâu anh đã tình thành mà,0.15789473684210525,tỏ tình với nhiều người anh đâu có tỏ tình với họ đâu anh đã tình thành mà,0.15789473684210525,0.22521233558654785
chính nghiệp khóa mười ba đã tiến hành phiên họp toàn thể lần thứ tư,chính hiệp khoá mười ba đã tiến hành phiên học toàn thể lần thứ tư,0.2,chính hiệp khóa 13 đã tiến hành phiên học toàn thể lần thứ 4,0.3333333333333333,0.16090822219848633
còn bây giờ thì con xin phép sẽ đi ra ngoài một chút xíu và con sẽ để lại cho cô một bất ngờ,bây giờ thì con xin phép sẽ đi ra ngoài một chút xíu và con sẽ để lại cho cô một bất ngờ,0.041666666666666664,bây giờ thì con xin phép sẽ đi ra ngoài một chút xíu và con sẽ để lại cho cô một bất ngờ,0.041666666666666664,0.22262144088745117
bà vương kiều oanh,bà vương kiều oanh,0.0,bà vương kiều oanh,0.0,0.06925153732299805
nhưng mà cũng biết được rằng là chị là một người rất là khó tính trong chuyện a cà phê,nhưng mà cũng biết được rằng là chị là một người rất là khó tính trong chuyện à cà phê,0.05,nhưng mà cũng biết được rằng là chị là một người rất là khó tính trong chuyện à cà phê,0.05,0.20102310180664062
tuyên truyền để nâng cao được ý thức của người dân khi tham gia giao thông,tuyên truyền để nâng cao đượcái ý thức của người dân khi tham gia giao thông,0.0625,tuyên truyền để nâng cao được cái ý thức của người dân khi tham gia giao thông,0.0625,0.1699068546295166
nữ sinh hàn khoe chân dài miên man dưới tán hoa anh đào,nữ sinh hàn khoe chân dài miên man giưới tán hoa anh đào,0.07692307692307693,nữ sinh hàn khoe chân dài miên man dưới tán hoa anh đào,0.0,0.13622665405273438
và một điều lan khuê đánh giá rất cao ngọc ngân là ngọc ngân hiểu được bộ trang phục,và điều lăn phải đánh giá rất cao ngọc nhân là ngộc vân hiểu được bộ trang phục,0.3157894736842105,và điều lăn phải đánh giá rất cao ngọc nhân là quốc vân hiểu được bộ trang phục,0.3157894736842105,0.19124054908752441
vậy mà số phận tréo ngoe lại kéo họ đến với nhau,vậy mà số phận tréo ngoe lại kéo họ đến với nhau,0.0,vậy mà số phận tréo ngoe lại kéo họ đến với nhau,0.0,0.13572955131530762
à có thể nó nó nó được ý thức và được được được kiềm chế,tại có thể nó nó nó được ý thức và được được được kiểm chế,0.13333333333333333,tại có thể nó nó nó được ý thức và được được kiểm chế,0.2,0.14496946334838867
cô cho con đứng đây hết giờ ngủ luôn,cô cho con đứng đây hết giờ ngủ luôn,0.0,cô cho con đứng đây hết giờ ngủ luôn,0.0,0.11127996444702148
những ngày đầu á những cái mùa hè xanh đầu tiên á thì ờ cái đội văn nghệ xung kích,những ngày đầu á những cái mùa hè xanh đầu tiên á thì cái đội văn nghệ xung kích,0.05,những ngày đầu á những cái mùa hè xanh đầu tiên á thì cái đội văn nghệ xung kích,0.05,0.18910527229309082
bảo tao xác nhận nằm ngửa ra nhà bảo tao xác nhận ui giời ôi,tà tao sác nhệ ước á nằm ngửa ra nhà mà tao xác nhậ ú rồi i,0.6666666666666666,tà tao xác nghệ nước á nằm ngửa ra nhà mà tao xác nhận ú rồi i,0.5333333333333333,0.1865222454071045
màu be màu trắng màu bơ sữa,màu be màu trắng màu bơ sữa,0.0,màu be màu trắng màu bơ sữa,0.0,0.10262084007263184
em em không được ỷ lại vào vấn đề là tôi để cho em tự do,em em không được ỷ lại và vấn đề là tôi để cho em tự do,0.0625,em em không được ý lại và vấn đề là tôi để cho em tự do,0.125,0.17612719535827637
con đi con đi xuống gì tư con ở trước đi rồi mẹ coi sao,con đi con đi xuống vị tư con ở trước đi rồi mẹ coi sao,0.06666666666666667,con đi con đi xuống vị tư con ở trước đi rồi mẹ coi sao,0.06666666666666667,0.15842580795288086
và chúng ta vẫn sẽ giậm chân tại chỗ,và chúng ta vẫn sẽ giập chân tại chỗ,0.1111111111111111,và chúng ta vẫn sẽ dập chân tại chỗ,0.1111111111111111,0.10121560096740723
thuộc công ty cổ phần dược phẩm hoa thiên phú đã tài trợ cho chương trình,thuộc công ty cổ phần dược phẩm hoa thiên phú đã tài trợ cho chương trình,0.0,thuộc công ty cổ phần dược phẩm hoa thiên phú đã tài trợ cho chương trình,0.0,0.17482781410217285
họ hay được người khác chọn làm điểm tựa,họ hay được người khác chọn làm điểm tựa,0.0,họ hay được người khác chọn làm điểm tựa,0.0,0.10092449188232422
sau đó,sau đó,0.0,sau đó,0.0,0.04993772506713867
chạm khi mà chúng ta dùng cái tay đẩy nhẹ,và khi mà chúng ta dùng cái tay để nhẹ,0.2,và khi mà chúng ta dùng cái tay để nhẹ,0.2,0.10988020896911621
nó miêu tả một cung điện nguy nga với phòng chết chiều các khu ở của quan loại quan lại và một hệ thống dẫn nước phức tạp,nó miêu tả một công điện nguy nga với phòng chiết chiều các khu ở của quan loại cu quon lại và một hệ thống dẫn nước phức tạp,0.14285714285714285,nó miêu tả một công điện nguy nga với phòng chiết chiều các khu ở của quan loại kuquon lại và một hệ thống dẫn nước phức tạp,0.10714285714285714,0.29888319969177246
và cái đối tượng là là cận nghèo,và cái đối tượng là là cần nghèo,0.125,và cái đối tượng là là cần nghèo,0.125,0.1017613410949707
má điệp cũng bỏ đi làm ăn,má điệp cũng bỏ đi làm ăn,0.0,má điệp cũng bỏ đi làm ăn,0.0,0.08435893058776855
mà chưa gì cậu đã nhảy lên xưng anh anh em em với tôi thế,mà chưa gì cậu đã nhảy lên sưng anh anh em em với tôi thế,0.06666666666666667,mà chưa gì cậu đã nhảy lên sưng anh anh em em với tôi thế,0.06666666666666667,0.15793251991271973
và phải uống kháng sinh liên tục cứ uống hết thuốc khoảng một tháng hoặc một đến hai tuần thì cháu lại bị ho,và phải uống kháng sinh liên tục cứ uống hết thuốc khoảng một tháng hoặc một đến hai tuần thì cháu lại bị ho,0.0,và phải uống kháng sinh liên tục cứ uống hết thuốc khoảng 1 tháng hoặc một đến hai tuần thì cháu lại bị ho,0.041666666666666664,0.23557400703430176
đứa trẻ kháu khỉnh chính là con giun béo ngậy trên đầu chiếc cần câu,đứa trẻ kháo khỉnh chính là con run béo ngậy trên đầu chiếc cần câu,0.13333333333333333,đứa trẻ kháo tỉnh chính là con run béo cây trên đầu chiếc cần câu,0.26666666666666666,0.15761923789978027
thì hôm nay ơ chúng tôi ngồi với nhau ở đây thì để trao đổi về cái vấn đề mình đã nói từ đầu,thì hôm nay chúng tôi ngồi với nhau ở đây thì để trao đổi về cái vấn đề như đã nói từ đầu,0.08333333333333333,thì hôm nay chúng tôi ngồi với nhau ở đây thì để trao đổi về cái vấn đề như đã nói từ đầu,0.08333333333333333,0.23408246040344238
chị mới lượm được mấy tờ này ở trước cửa nhà nè,chỉ mới luận được mấy tờ này ở trưức của nhà nè,0.3333333333333333,chỉ mới luận được mấy tờ này ở trước của nhà nè,0.25,0.13881897926330566
con bò được là con giỏi lắm rồi,con bò được là con rỡ lắm rồi,0.125,con bò được là con rỡ lắm rồi,0.125,0.09484434127807617
à cô cho con được phép hỏi là cái dịp,à cô ch con được phép hỏi là cái dịp,0.1,ah cô ch con được phép hỏi là cái dịp,0.2,0.11082625389099121
thì khán giả mới thứ chị quay trở lại với màn ảnh và không ngoài dự đoán thì bộ phim hương ga cũng,khán giả mới thấy chị quay trở lại với màn ảnh và thông ngoài dự đoán thì bộ phiệm ngương ga cũng,0.21739130434782608,khán giả mới thấy chị quay trở lại với màn ảnh và thông ngoài dự đoán thì bộ phiệm mương gas cũng,0.2608695652173913,0.24168848991394043
xoá bỏ độc quyền và đặc quyền sản xuất kinh doanh của doanh nghiệp nhà nước,xoá bỏ độc quyền và đặc quyền sản xuất kinh doanh của doanh nghiệp nhà nước,0.0,xóa bỏ độc quyền và đặc quyền sản xuất kinh doanh của dn nhà nước,0.1875,0.17675161361694336
má tha hồ nói hết với tụi nó nghe,má tha hồ nói hết với tụi nó nghe,0.0,má tha hồ nói hết với tụi nó nghe,0.0,0.10261774063110352
có nghĩa là chúng ta không có cơ hội,có nghĩa là chúng ta không có cơ hội,0.0,có nghĩa là chúng ta không có cơ hội,0.0,0.10495615005493164
